batter,runner,kierros,joukkueid,originalNumber_lyöja,player.id_lyöja,nimi_lyöja,originalNumber_etenija,player.id_etenija,nimi_etenija
5,1,1,14295,5,9666,Aleksanteri Huotari,1,9971,Iivari Vihanto
4,11,1,14295,4,1232,Sami Haapakoski,11,9471,Elmeri Purmonen
3,2,1,14295,3,9182,Kalle Kuosmanen,2,6201,Jere Vikström
6,12,1,14295,6,10559,Samuel Huotari,12,10950,Vertti Veittikoski
10,8,1,14295,10,10468,Kasperi Vehkaoja,8,7235,Miika Keski-Petäjä
5,1,2,14295,5,9666,Aleksanteri Huotari,1,9971,Iivari Vihanto
4,11,2,14295,4,1232,Sami Haapakoski,11,9471,Elmeri Purmonen
3,2,2,14295,3,9182,Kalle Kuosmanen,2,6201,Jere Vikström
10,1,1,14293,10,8574,Perttu Ruuska,1,8878,Severi Tikkakoski
4,3,1,14293,4,1315,Henri Puputti,3,6090,Juuso Myllyniemi
5,2,1,14293,5,2941,Antti Korhonen,2,6640,Simo Vainikainen
7,6,1,14293,7,9500,Aapo Komulainen,6,9542,Tomi Lehtonen
11,12,1,14293,11,8270,Kalle-Tapio Huusko,12,11350,Tino Heikkilä
10,1,2,14293,10,8574,Perttu Ruuska,1,8878,Severi Tikkakoski
4,3,2,14293,4,1315,Henri Puputti,3,6090,Juuso Myllyniemi
5,2,2,14293,5,2941,Antti Korhonen,2,6640,Simo Vainikainen
