originalNumber,defensivePosition,prizes,trophies,player.id,player.firstName,player.lastName,player.url,player.mainId,player.image,player.age,player.birthday,player.birthday_today
1,6.0,[],"[{'id': 1, 'name': 'Kuukauden pelaaja', 'detail': None, 'season': 2021}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2022}, {'id': 1, 'name': 'Kuukauden pelaaja', 'detail': None, 'season': 2024}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2021}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",8878,Severi,Tikkakoski,https://v1.pesistulokset.fi/pelaaja/8878,8878,https://www.pesistulokset.fi/storage/pelaajakuvat/cea07902f86e174cba5cd55125ca3cf8-maxWidth125.png,26,11.3.2000,False
2,8.0,[],"[{'id': 41, 'name': 'SM-pronssimitali', 'detail': None, 'season': 2020}, {'id': 60, 'name': 'SM-hopeamitali (talvikausi)', 'detail': None, 'season': 2024}]",9527,Perttu,Olli,https://v1.pesistulokset.fi/pelaaja/9527,9527,https://www.pesistulokset.fi/storage/pelaajakuvat/0d97d779a42cf42a377e6905a21ca78d-maxWidth125.png,23,18.7.2002,False
3,4.0,[],"[{'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2022}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2021}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2021}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2017}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2016}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2022}]",6090,Juuso,Myllyniemi,https://v1.pesistulokset.fi/pelaaja/6090,6090,https://www.pesistulokset.fi/storage/pelaajakuvat/ae3f986acb2bc03ba2acd17cad1be084-maxWidth125.png,34,11.6.1991,False
4,3.0,[],"[{'id': 1, 'name': 'Kuukauden pelaaja', 'detail': None, 'season': 2023}, {'id': 41, 'name': 'SM-pronssimitali', 'detail': None, 'season': 2023}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2024}, {'id': 60, 'name': 'SM-hopeamitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",2941,Antti,Korhonen,https://v1.pesistulokset.fi/pelaaja/2941,2941,https://www.pesistulokset.fi/storage/pelaajakuvat/93e1e2fbb6f586f3c27705ffc86bfbc6-maxWidth125.png,33,24.3.1993,False
5,2.0,[],"[{'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2022}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2023}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",9542,Tomi,Lehtonen,https://v1.pesistulokset.fi/pelaaja/9542,9542,https://www.pesistulokset.fi/storage/pelaajakuvat/cb15c482b89ce5a0eb8b3d9594f5c777-maxWidth125.png,24,3.8.2001,False
6,5.0,[],"[{'id': 8, 'name': 'Vuoden tulokas, miesten Superpesis', 'detail': None, 'season': 2019}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2022}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2021}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2019}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2022}]",6640,Simo,Vainikainen,https://v1.pesistulokset.fi/pelaaja/6640,6640,https://www.pesistulokset.fi/storage/pelaajakuvat/ea060f49c27cb9b6531b92f1b46b77d1-maxWidth125.png,33,20.12.1992,False
7,1.0,[],"[{'id': 8, 'name': 'Vuoden tulokas, miesten Superpesis', 'detail': None, 'season': 2020}, {'id': 31, 'name': 'Vuoden poikalukkari', 'detail': None, 'season': 2020}, {'id': 31, 'name': 'Vuoden poikalukkari', 'detail': None, 'season': 2022}, {'id': 31, 'name': 'Vuoden poikalukkari', 'detail': None, 'season': 2021}, {'id': 4, 'name': 'Vuoden lukkari, miehet', 'detail': None, 'season': 2023}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2023}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2020}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2023}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}, {'id': 4, 'name': 'Vuoden lukkari, miehet', 'detail': None, 'season': 2025}]",9500,Aapo,Komulainen,https://v1.pesistulokset.fi/pelaaja/9500,9500,https://www.pesistulokset.fi/storage/pelaajakuvat/8d6fbe604297905b22665cf9223e3536-maxWidth125.png,23,19.2.2003,False
8,7.0,[],"[{'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2023}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",11014,Matias,Paananen,https://v1.pesistulokset.fi/pelaaja/11014,11014,https://www.pesistulokset.fi/storage/pelaajakuvat/9efb6d20372f63994259f175654f34c0-maxWidth125.png,20,8.10.2005,False
9,9.0,[],"[{'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",12158,Kaapo,Mäkelä,https://v1.pesistulokset.fi/pelaaja/12158,12158,https://www.pesistulokset.fi/storage/pelaajakuvat/5e0c99f381134aec3478b7b373943003-maxWidth125.png,18,26.4.2007,False
10,,[],"[{'id': 12, 'name': 'Kultainen maila, miehet', 'detail': None, 'season': 2020}, {'id': 16, 'name': 'Miesten Itä-Lännen kentän paras', 'detail': None, 'season': 2019}, {'id': 28, 'name': 'Kultakypäräpelaaja, miesten Superpesis', 'detail': None, 'season': 2019}, {'id': 29, 'name': 'Vuoden poikapesäpalloilija', 'detail': None, 'season': 2017}, {'id': 29, 'name': 'Vuoden poikapesäpalloilija', 'detail': None, 'season': 2018}, {'id': 29, 'name': 'Vuoden poikapesäpalloilija', 'detail': None, 'season': 2019}, {'id': 29, 'name': 'Vuoden poikapesäpalloilija', 'detail': None, 'season': 2020}, {'id': 1, 'name': 'Kuukauden pelaaja', 'detail': None, 'season': 2020}, {'id': 1, 'name': 'Kuukauden pelaaja', 'detail': None, 'season': 2018}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2022}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2023}, {'id': 16, 'name': 'Miesten Itä-Lännen kentän paras', 'detail': None, 'season': 2024}, {'id': 40, 'name': 'SM-hopeamitali', 'detail': None, 'season': 2024}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2024}, {'id': 41, 'name': 'SM-pronssimitali', 'detail': None, 'season': 2021}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2016}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2017}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2021}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2019}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2018}, {'id': 55, 'name': 'Miesten Itä-Länsi-ottelu', 'detail': None, 'season': 2017}, {'id': 61, 'name': 'SM-pronssimitali (talvikausi)', 'detail': None, 'season': 2024}, {'id': 39, 'name': 'Suomen mestaruus', 'detail': None, 'season': 2025}]",8574,Perttu,Ruuska,https://v1.pesistulokset.fi/pelaaja/8574,8574,https://www.pesistulokset.fi/storage/pelaajakuvat/7561fa2fad3e7b7c67362c195672a50c-maxWidth125.png,25,15.2.2001,False
