batter,runner,kierros,nimi_lyöjä,originalNumber_lyöjä,nimi_etenijä,originalNumber_etenijä,joukkue
10,1,1,Perttu Ruuska,10,Severi Tikkakoski,1,Manse
4,6,1,Antti Korhonen,4,Simo Vainikainen,6,Manse
11,3,1,Jukka-Pekka Vainionpää,11,Juuso Myllyniemi,3,Manse
7,5,1,Aapo Komulainen,7,Tomi Lehtonen,5,Manse
8,2,1,Matias Paananen,8,Perttu Olli,2,Manse
10,1,2,Perttu Ruuska,10,Severi Tikkakoski,1,Manse
4,6,2,Antti Korhonen,4,Simo Vainikainen,6,Manse
11,3,2,Jukka-Pekka Vainionpää,11,Juuso Myllyniemi,3,Manse
7,5,2,Aapo Komulainen,7,Tomi Lehtonen,5,Manse
8,2,2,Matias Paananen,8,Perttu Olli,2,Manse
10,7,1,Roope Korhonen,10,Jere Vikström,7,SoJy
12,11,1,Aapo Hiltunen,12,Vincent Kontturi,11,SoJy
5,2,1,Samuel Huotari,5,Kalle Kuosmanen,2,SoJy
6,3,1,Aleksanteri Huotari,6,Iivari Vihanto,3,SoJy
4,1,1,Hannes Pekkinen,4,Elmeri Purmonen,1,SoJy
10,7,2,Roope Korhonen,10,Jere Vikström,7,SoJy
12,11,2,Aapo Hiltunen,12,Vincent Kontturi,11,SoJy
5,2,2,Samuel Huotari,5,Kalle Kuosmanen,2,SoJy
6,3,2,Aleksanteri Huotari,6,Iivari Vihanto,3,SoJy
4,1,2,Hannes Pekkinen,4,Elmeri Purmonen,1,SoJy
